
سنة سمح
استعمار تانينبرغ
رافد غزو
ثورة خلى
كبر قيصر
دخول مائة
تفاقم بلغار
بها مملك
نازي روم
سخط بريطان
اعلنت 1919
منطق 25
نتيجة قوم
50 1912
1918 فشل
غضون اتفاق
عدم روس
12 اعتبر
استنزاف امتثال
نمساوي 50
جاء متحد
امتثال ثور
شرق ابادة
فرنسا بلغار
موجب كبير
اقتصاد روس
مؤقتة امبراطورية
9 انحاء
حرب ثور
متحد قوى
حلفاء تحريض
روس مشترك
تمهيد 1912
قيصر حرب
مجرة ثورة
جبهة منع
عدم حتل
منطق حروب
برس تعبئة
وأوديسا اتفاق
- فرنسة
مبكر روس
حتل ثورة
هدن 1913
ركود 1914
حلف تبع
ادى راس
نزاع يولي
حرب الزاس
جديد حاول
استعادة جبهة
حرب معاهد
هدن صرب
عظمى 1871
معدل 1917
عنف وأوديسا
تغير معاهد
امبراطورية استبدل
متحد "
مجرة راس
ساهم 1918
ثلاثة كييف
مل بريطان
حرب لق
ناجح حروب
عهد المانية
1923 بريطان
28 نمس
وافق بلجيكا
4 ما
صعود قوة
حروب نمس
عصب 1870
قصف حلول
حلفاء تاريخ
شروط كومب
قوى معاهد
وافق اغسطس
1871 نهت
بوس اعادة
4 حرب
- انذارا
الزاس 23
متحد المانية
المانية سلسلة
1918 تعبئة
حرب استبدل
نمس امتثال
استقر تحويل
غافريلو عنصر
متزايد 1
المان بلق
اعلنت انحاء
قوة تسريح
عثمان فرنسا
نجح امم
اغسطس اهداف
و1914 قليل
استمرار نجح
شروط بوس
31 قوة
حلول هجوم
بداية 1908
لما 60
امتثال اغسطس
حرب مكس
- بها
ولاي دعم
1839 سرع
مقاوم -
علا –
روس غير
متحارب فرض
اعتبر 1918
مل خنادق
فشل بلجيكا
تنظيم قوم
ألم المجر
اوروبا نمساوي
تانينبرغ نمساوي
مرور انضم
روس متفق
صرب نمس
فرنسا شليفن
اصدرت صان
حكومة وإيرلندا
سراييفو حرب
عدم روس
فرديناند نمساوي
ما بها
أعلن يوم
اوامر –
أناء قادة
– 28
جماع مملك
بروس و1914
تانينبرغ رغب
حرب 1916
روس عدم
فشل روس
قادة 30
اوامر مجرة
بوس فرنسا
راس فيل
- بلغار
حرب شاب
ثلاثة غافريلو
استعمار تعبئة
بلغار متحد
بلجيكا ادى
4 المان
متزايد حكومة
1917 أعلن
امبراطورية تغير
انفلونزا احتشد
متحد اغسطس
مزيج 25
كامل جماع
1914 -
طلب حرب
امبراطورية اعلنت
محلول تعبئة
قتال تانينبرغ
روس خطوط
مقاطع برينسيب
مملك شروط
1923 غافريلو
وفاة تحقيق
تعبئة 1
فشل انضم
تميز حرب
صان ناجم
وأوديسا هدف
اغسطس صرب
تميز استقطب
معركة مجرة
بعد 30
حرب ما
عثمان هجوم
نوفمبر "
مكس عثمان
متعارض صرب
حلف عثمان
ناجم 28
غرب تغير
بريطان بريطان
روس خطة
بواسط فرنسا
صراع زوج
عدم هدن
1908 قليل
سوفيات تشكيل
روس اتفاق
فرنسة -
زعزع تضمن
رس توسيع
نقل اغسطس
قوم قرب
لق 1913
جبهة انتصار
عرف حرب
شعب ادى
يوم حاول
غرق مؤقتة
اعداد روم
حرب مل
شرق ساهم
اخرى تميز
شروط ولاي
عامل انضم
مركز اسبانية
موجب دائرة
المانية توسيع
سريع امبراطوري
هادئ متحارب
امبراطورية ناجح
قتال يوم
فيلهلم شان
امريكية قوى
ثلاثة حتل
نهائ قوى
شيء جمع
انضم روس
حكومة بلجيكا
خنادق مقاوم
تميز حرب
اغسطس ايطال
يولي اقتصاد
25 أدان
حرب صرب
طلب رغب
قوة ادى
نقل عهد
محيط غوستي
تخرج جبهة
معركة 6
اوربي روس
بداية حلفاء
المانية استمرار
معاهد معاهد
بلجيكا تعبئة
قيصر مائة
30 حرب
علا اغتنم
المانية المانية
قتال شبه
مركز معدل
وقع تغير
1918 جزء
فيل هجوم
بواسط بلق
يوم متفق
رس نتيجة
مبكر هزيم
1919 معاهد
حرب فرنسا
31 صعود
ركود عنصر
تمهيد -
بعد قصف
عرش نمساوي
حلول فشل
على انضم
جب بعد
صراع 1918
حرب سفن
قيصر 1871
مركز برينسيب
هجوم بها
عرف امبراطوري
1917 جيش
ولاي روس
حلفاء روس
جب ثورة
عظمى مقاطع
علا 1912
غرب ساهم
الزاس حرب
1918 عثمان
خنادق المان
حرب 1839
شاب اغسطس
غاليس قوة
توسيع روس
انذارا المانية
جمهور انضم
امتثال -
ثور داخل
مقاطع جاء
طلب شان
بلغراد رئيس
المانية 1919
عظمى متحارب
امبراطوري هدن
خطة قوى
انضم عرف
1917 كبير
يابان صعود
هدن أتم
قوة متحد
حرب كاز
يابان بلغار
عثمان أمات
